image_urls,chip_info
['http://themogh.org/cg_pix/nv/20254.jpg'],"CG020254 Obsolete Denom: $1 Issued: 08/28/2008 Last Update: 2017-04-22 Color: White Inserts: 1-Black 1-Blue Mold: H&C (RHC) Inlay: OR-MULTI Logo: Cannery woman Catalog#: E7067 Contributed by: Greg Susong CASINO HOTEL in light grey. NGCB calls woman on Cannery chip a ""BLACK HAIRED WOMAN"". Show"
['http://themogh.org/cg_pix/nv/137552.jpg'],"CG137552 Obsolete Denom: $1 Issued: 2014 Added: 2014-11-22 Last Update: 2017-04-22 Color: White Inserts: 1-Black 1-Blue Mold: H&C (RHC) Inlay: OR-MULTI Logo: Cannery woman Catalog#: E7067.1 Contributed by: Roger Herman CASINO HOTEL in black. NGCB calls woman on Cannery chip a ""BLACK HAIRED WOMAN"". Show"
"['http://themogh.org/cg_pix/nv/174801.jpg', 'http://themogh.org/cg_pix/nv/174801a.jpg']",CG174801 Obsolete Denom: $1 Issued: 12/20/2016 Added: 2017-01-06 Last Update: 2020-12-17 Color: Orange Mold: Boyd Inlay: R-MULTI Catalog#: D2484 Contributed by: Jim Follis NGCB lists chip color as Butterscotch. Show
['http://themogh.org/cg_pix/addl/1181.jpg'],CG174801 - Additional Images UV Mark Contributed by: Steve Gwozdziewicz
['http://themogh.org/cg_pix/nv/27720.jpg'],"CG027720 Obsolete Denom: $5 Issued: 08/28/2008 Added: 2010-12-16 Last Update: 2017-04-22 Color: Red Inserts: 2 Lime, 2 Orange Mold: H&C (RHC) Logo: Cannery woman Catalog#: E7068 Contributed by: Greg Susong NGCB calls woman on Cannery chip a ""BLACK HAIRED WOMAN"". Show"
"['http://themogh.org/cg_pix/nv/174802.jpg', 'http://themogh.org/cg_pix/nv/174802a.jpg']",CG174802 Obsolete Denom: $5 Issued: 12/20/2016 Added: 2017-01-06 Last Update: 2020-12-17 Color: Red Inserts: 4 Blue Mold: Boyd Catalog#: D2485 Contributed by: Jim Follis NGBC: ROYAL RED W/HORIZON BLUE Show
['http://themogh.org/cg_pix/nv/27721.jpg'],"CG027721 Obsolete Denom: $25 Issued: 08/28/2008 Added: 2010-12-16 Last Update: 2017-04-22 Color: Green Inserts: 1 Blue, 1 Gry, 1 Pnk Mold: H&C (RHC) Logo: Cannery woman Catalog#: E7069 Contributed by: Greg Susong NGCB calls woman on Cannery chip a ""BLACK HAIRED WOMAN"". Show"
"['http://themogh.org/cg_pix/nv/174803.jpg', 'http://themogh.org/cg_pix/nv/174803a.jpg']",CG174803 Obsolete Denom: $25 Issued: 12/20/2016 Added: 2017-01-06 Last Update: 2020-12-17 Color: Green Inserts: 4 Yellow Mold: Boyd Catalog#: D2486 Contributed by: Jim Follis NGCB: MUNZELL GREEN W/ CANARY YELLOW Show
['http://themogh.org/cg_pix/nv/174789.jpg'],"CG174789 Obsolete Denom: $100 Issued: 08/28/2008 Added: 2017-01-06 Last Update: 2017-04-22 Color: Black Inserts: 3 Blue, 3 Pink Mold: H&C (RHC) Logo: Cannery woman Catalog#: E7853 NGCB calls woman on Cannery chip a ""BLACK HAIRED WOMAN"". Show"
"['http://themogh.org/cg_pix/nv/174875.jpg', 'http://themogh.org/cg_pix/nv/174875a.jpg']",CG174875 Obsolete Denom: $100 Issued: 12/20/2016 Added: 2017-01-11 Last Update: 2020-12-17 Color: Black Inserts: 4 White Mold: Boyd Catalog#: D2487 Contributed by: Ricky Pushkin Show
['http://themogh.org/cg_pix/nv/306009.jpg'],"CG306009 Obsolete Denom: $500 Issued: 08/28/2008 Added: 2023-06-23 Last Update: 2023-06-23 Color: Purple Inserts: 4 sxs Green/Orange Mold: H&C (RHC) Inlay: OR-Purple Logo: Cannery woman Catalog#: E7854 Contributed by: Torrey Morand NGCB calls woman on Cannery chip a ""BLACK HAIRED WOMAN"". Show"
[],
