image_urls,chip_info
"['http://themogh.org/cg_pix/nv/86762.jpg', 'http://themogh.org/cg_pix/nv/86762a.jpg']","CG086762 Obsolete Denom: 25¢ Issued: 1950 Added: 2012-07-01 Last Update: 2014-01-19 Color: BLACK Mold: SmKey Inlay: HS-GOLD Logo: DSN Catalog#: E3179 Contributed by: Delev Rothe and Jon Day Don S. Neighbors, the owner Show"
"['http://themogh.org/cg_pix/nv/275509.jpg', 'http://themogh.org/cg_pix/nv/275509a.jpg']","CG275509 Obsolete Denom: $5 Issued: 1950 Added: 2021-12-26 Last Update: 2021-12-26 Color: Red Mold: SCrown Inlay: HS Gold Logo: NS Catalog#: D1501 Contributed by: Tom Deason Shipped to W. D. Shoulders, Las Vegas, 1951 Show"
"['http://themogh.org/cg_pix/nv/100174.jpg', 'http://themogh.org/cg_pix/nv/100174a.jpg']",CG100174 Obsolete Denom: $5 Issued: 1950 Added: 2013-03-17 Last Update: 2018-04-02 Color: Mustard Mold: SmKey Inlay: HS-GOLD Logo: DSN Catalog#: E3181 Contributed by: Steve Clark Show
"['http://themogh.org/cg_pix/nv/178454.jpg', 'http://themogh.org/cg_pix/nv/178454a.jpg']",CG178454 Obsolete Denom: $5 Issued: 1950 Added: 2017-04-15 Last Update: 2018-04-02 Color: Beige Mold: SmKey Inlay: HS Gold Logo: DSN Catalog#: E3180 Contributed by: David Sarles Updated by: Steve Clark Show
"['http://themogh.org/cg_pix/nv/178455.jpg', 'http://themogh.org/cg_pix/nv/178455a.jpg']",CG178455 Obsolete Denom: $5 Issued: 1950 Added: 2017-04-15 Color: Red Mold: SmKey Inlay: HS Gold Logo: DSN Catalog#: D0414 Contributed by: David Sarles Show
"['http://themogh.org/cg_pix/nv/134562.jpg', 'http://themogh.org/cg_pix/nv/134562a.jpg']",CG134562 Obsolete Denom: $25 Issued: 1950 Added: 2014-09-18 Last Update: 2014-10-01 Color: Brown Mold: SmKey Inlay: HS Gold Logo: DSN Catalog#: D0415 Contributed by: Steve Clark Show
[],
[],
