image_urls,chip_info
"['http://themogh.org/cg_pix/nv/020816.jpg', 'http://themogh.org/cg_pix/nv/020816a.jpg']",CG020816 Show Casinos Obsolete Denom: $1 Issued: 1990s Last Update: 2014-06-11 Color: White Mold: 8Suits Inlay: HS-GOLD Logo: Elephant Catalog#: E8713 Contributed by: Kevin Aydelott Show
"['http://themogh.org/cg_pix/nv/33377.jpg', 'http://themogh.org/cg_pix/nv/33377a.jpg']","CG033377 Show Casinos Obsolete Denom: $5 Issued: 1990s Added: 2011-03-14 Last Update: 2023-04-13 Color: Red Mold: 8Suits Inlay: HS-GOLD Catalog#: E3142 Contributed by: Barry ""barrychip"" Weintraub Show"
"['http://themogh.org/cg_pix/nv/33378.jpg', 'http://themogh.org/cg_pix/nv/33378a.jpg']","CG033378 Show Casinos Obsolete Denom: $20 Issued: 1990s Added: 2011-03-14 Last Update: 2014-06-11 Color: BLACK Mold: 8Suits Inlay: HS-GOLD Catalog#: E0085 Contributed by: Barry ""barrychip"" Weintraub Show"
[],
