image_urls,chip_info
['http://themogh.org/cg_pix/nv/40500.jpg'],CG040500 Obsolete Denom: $5 Issued: 1994 Added: 2011-08-03 Last Update: 2019-05-20 Color: Red Inserts: 3 Bl/Gn Mold: H&C (LCV) Inlay: OOR-Pink Logo: Debbie Reynolds Catalog#: N2406 Contributed by: Terry Shaffer Show
['http://themogh.org/cg_pix/nv/164777.jpg'],CG164777 Obsolete Denom: $5 Issued: 1994 Added: 2016-06-17 Last Update: 2019-10-04 Color: Red Inserts: 3 Bl/Gn Mold: H&C (RHC) Inlay: OOR-PINK Logo: Debbie Reynolds Catalog#: E5437 Contributed by: Lee Kraft H&C Mold to the edge of the chip Show
['http://themogh.org/cg_pix/nv/40501.jpg'],CG040501 Obsolete Denom: $25 Issued: 1994 Added: 2011-08-03 Last Update: 2019-09-19 Color: Green Inserts: 3 Pu/Pe/Bl Mold: H&C (RHC) Inlay: Pink Logo: Debbie Reynolds Catalog#: N2715 Contributed by: Albert Scalzo (LM-2995-2) Show
[],
