image_urls,chip_info
"['http://themogh.org/cg_pix/nv/59090.jpg', 'http://themogh.org/cg_pix/nv/59090a.jpg']",CG059090 Obsolete Denom: 10¢ Issued: 1959 Added: 2011-12-27 Last Update: 2012-07-01 Color: Dk Orange Mold: H&C (CJ) Inlay: HS-GOLD Logo: Zebra Catalog#: N1555 Contributed by: Delev Rothe and Jon Day Show
['http://themogh.org/cg_pix/nv/40948.jpg'],CG040948 Obsolete Denom: $5 Issued: 1959 Added: 2011-08-11 Last Update: 2023-05-18 Color: Navy Inserts: 3 Lt Gray Mold: H&C (CJ) Inlay: R-BLACK Catalog#: N1553 Contributed by: Terry Shaffer Show
['http://themogh.org/cg_pix/nv/43329.jpg'],CG043329 Obsolete Denom: $25 Issued: 1959 Added: 2011-08-28 Last Update: 2012-04-11 Color: GRAY Inserts: 3 Red Mold: H&C (CJ) Inlay: R-BLACK Logo: Zebra Catalog#: N1552 Contributed by: Terry Shaffer Show
[],
[],
