image_urls,chip_info
['http://themogh.org/cg_pix/nv/184490.jpeg'],CG184490 Current Denom: 50¢ Issued: 2017 Added: 2017-10-05 Last Update: 2023-01-25 Color: Blue Mold: H&C (RHC) Inlay: OR-BLUE-WG Logo: Alamo Catalog#: D2606 Contributed by: Ross Poppel Show
"['http://themogh.org/cg_pix/nv/16930.jpg', 'http://themogh.org/cg_pix/nv/16930a.jpg']",CG016930 Current Denom: $1 Issued: 2006 Last Update: 2013-10-11 Color: White Inserts: 1-Navy 1-Red Mold: H&C (RHC) Inlay: OR-BLUE-WG Logo: Alamo Catalog#: E5571 Contributed by: Greg Susong Show
"['http://themogh.org/cg_pix/nv/53046.jpg', 'http://themogh.org/cg_pix/nv/53046a.jpg']","CG053046 Current Denom: $5 Issued: 1997 Added: 2011-11-08 Last Update: 2012-02-28 Color: DK RED Inserts: 3 Hot Pink, 3 Purple Mold: H&C (RHC) Inlay: OR-PINK Logo: Davy Crockett Catalog#: N8387 Contributed by: Gary Acquistapace Show"
"['http://themogh.org/cg_pix/nv/73445.jpg', 'http://themogh.org/cg_pix/nv/73445a.jpg']",CG073445 Current Denom: $25 Issued: 1997 Added: 2012-05-08 Last Update: 2012-05-08 Color: Green Inserts: 4 Bl/Oc Mold: H&C (RHC) Inlay: OR-GREEN Logo: James Bowie Catalog#: N8388 Contributed by: Terry Shaffer Show
"['http://themogh.org/cg_pix/nv/183245.jpg', 'http://themogh.org/cg_pix/nv/183245a.jpg']",CG183245 Current Denom: $100 Issued: 1997 Added: 2017-08-24 Last Update: 2018-03-03 Color: Black Inserts: 4 Fuschia/4 Blue/4 Gray Mold: H&C (RHC) Inlay: OR-Gray-WG Logo: WM Travis Catalog#: N8389 Contributed by: David Sarles Show
[],
