image_urls,chip_info
['http://themogh.org/cg_pix/nv/20747.jpg'],CG020747 Obsolete Denom: $1 Issued: 1957 Last Update: 2013-12-23 Color: BLACK Mold: Rectl Inlay: HS-GOLD Catalog#: N6519 Contributed by: Greg Susong Show
['http://themogh.org/cg_pix/nv/31296.jpg'],CG031296 Obsolete Denom: $5 Issued: 1957 Added: 2011-02-11 Last Update: 2011-02-11 Color: Green Mold: Rectl Inlay: HS-GOLD Catalog#: N6513 Show
['http://themogh.org/cg_pix/nv/31297.jpg'],CG031297 Obsolete Denom: $10 Issued: 1957 Added: 2011-02-11 Last Update: 2011-02-11 Color: Salmon Mold: Rectl Inlay: HS-GOLD Catalog#: N6511 Show
[],
[],
