image_urls,chip_info
['http://themogh.org/cg_pix/nv/19703.jpg'],CG019703 Obsolete Denom: $1 Issued: 1951 Last Update: 2013-12-29 Color: BLUE Mold: SmKey Inlay: HS-GOLD Catalog#: N5051 Contributed by: Greg Susong Show
['http://themogh.org/cg_pix/nv/027580.jpg'],CG027580 Obsolete Denom: $5 Issued: 1951 Added: 2010-12-14 Last Update: 2016-05-07 Color: Mustard Mold: SmKey Inlay: HS Gold Logo: Text Catalog#: E7055 Contributed by: Fred Hempel Updated by: Steve Clark Better chip image Show
['http://themogh.org/cg_pix/nv/183085.jpg'],CG183085 Obsolete Denom: $20 Issued: 1951 Added: 2017-08-21 Color: Light Green Mold: SmKey Inlay: HS Gold Logo: Text Catalog#: E7057 Contributed by: David Sarles Show
[],
