image_urls,chip_info
['http://themogh.org/cg_pix/nv/180110.jpg'],CG180110 Obsolete Issued: 1960s Added: 2017-05-30 Color: Red Inserts: 3 Lavender Mold: Horshu Inlay: HS Gold Logo: Two Bears Catalog#: NotInTCR Contributed by: David Sarles Show
['http://themogh.org/cg_pix/nv/180111.jpg'],CG180111 Obsolete Issued: 1960s Added: 2017-05-30 Color: Navy Inserts: 3 Lavender Mold: Horshu Inlay: HS Gold Logo: Two Bears Catalog#: E0289 Contributed by: David Sarles Show
['http://themogh.org/cg_pix/nv/180112.jpg'],CG180112 Obsolete Issued: 1960s Added: 2017-05-30 Color: Orange Mold: Horshu Inlay: HS Gold Logo: Two Bears Catalog#: E5383 Contributed by: David Sarles Show
['http://themogh.org/cg_pix/nv/148605.jpeg'],CG148605 Obsolete Denom: $1 Issued: 1960s Added: 2015-08-16 Last Update: 2021-12-10 Color: Light Green Mold: H&C (CJ) Inlay: HS-GOLD Logo: Two Bears Catalog#: D2931.C Contributed by: Jim Hackett Show
['http://themogh.org/cg_pix/nv/274734.jpg'],CG274734 Obsolete Denom: $1 Issued: 1960s Added: 2021-12-10 Color: Light Green Mold: H&C (CJ) Inlay: HS-GOLD Logo: Two Bears Catalog#: D2931 Contributed by: Tom Perry Show
['http://themogh.org/cg_pix/nv/093055.jpg'],CG093055 Obsolete Denom: $1 Issued: 1955 Added: 2012-11-24 Last Update: 2016-10-12 Color: Red Mold: H&C (CJ) Inlay: HS-GOLD Logo: Two bears Catalog#: E9716 Contributed by: Gene Lonstein Show
['http://themogh.org/cg_pix/nv/s/20900.jpg'],CG020900 Obsolete Denom: $1 Issued: 1964 Last Update: 2016-10-12 Color: Navy Inserts: 3-Cream Mold: H&C (CJ) Inlay: R-BLUE Logo: White King Bear Quantity: 10000 Catalog#: N3199 Contributed by: David Caulfield Show
['http://themogh.org/cg_pix/nv/64756.jpg'],"CG064756 Obsolete Denom: $1 Issued: 1960s Added: 2012-02-24 Last Update: 2016-10-12 Color: Navy Inserts: 3-Cream Mold: H&C (CJ) Inlay: R-BLUE Logo: White King Bear Catalog#: N3199.D ""COMMERCIAL"" GOUGED OUT Show"
['http://themogh.org/cg_pix/nv/01126.jpg'],CG001126 Obsolete Denom: $1 Issued: 1994 Last Update: 2016-10-12 Color: White Inserts: 2-Dark Green 2-Maroon Mold: H&C (RHC) Inlay: OR-GREEN-WG Logo: White King Bear Catalog#: N2318 Contributed by: Greg Susong Show
['http://themogh.org/cg_pix/nv/167258.jpg'],"CG167258 Obsolete Denom: $5 Issued: 1959 Added: 2016-07-23 Last Update: 2017-03-06 Color: Gray, Purple Inserts: 2-Gray 2-Purple 1/4 Pie Mold: H&C (CJ) Inlay: SCA-WHITE Logo: White King Bear Quantity: 5000 Catalog#: N3687 Contributed by: David Sarles Inlay color variation I, Teal TCR doesn't yet recognize the difference between the two inlays, so we will give them the same information until future notification. Show"
['http://themogh.org/cg_pix/nv/167259.jpg'],"CG167259 Obsolete Denom: $5 Issued: 1959 Added: 2016-07-23 Last Update: 2017-03-06 Color: Gray, Purple Inserts: 2-Gray 2-Purple 1/4 Pie Mold: H&C (CJ) Inlay: SCA-WHITE Logo: White King Bear Quantity: 5000 Catalog#: N3687 Contributed by: David Sarles Inlay color variation II  Lt Green TCR doesn't yet recognize the difference between the two inlays, so we will give them the same information until future notification. Show"
['http://themogh.org/cg_pix/nv/162595.jpg'],CG162595 Obsolete Denom: $5 Issued: 1964 Added: 2016-05-07 Last Update: 2017-03-06 Color: Red-Orange Inserts: 3-Green Mold: H&C (CJ) Inlay: SCA-BLUE Logo: White King Bear Quantity: 5000 Catalog#: N3727 Contributed by: David Sarles Show
['http://themogh.org/cg_pix/nv/30569.jpg'],CG030569 Obsolete Denom: $5 Issued: 1973 Added: 2011-01-30 Last Update: 2017-03-06 Color: Orange Inserts: 3-Green Mold: Nevada Inlay: SCA-BLUE Logo: White King Bear Quantity: 11000 Catalog#: N5971 Contributed by: James Campiglia Show
['http://themogh.org/cg_pix/nv/52273.jpg'],CG052273 Current Denom: $5 Issued: 1980 Added: 2011-11-01 Last Update: 2019-08-25 Color: Red Inserts: 3 Split Yellow Mold: DieSuits (LOT) Inlay: CIC-Silver Catalog#: N3198 Contributed by: Gary Acquistapace Show
['http://themogh.org/cg_pix/nv/52274.jpg'],"CG052274 Current Denom: $25 Issued: 1962 Added: 2011-11-01 Last Update: 2017-03-06 Color: Black, Green Inserts: 2-Green 2-Black 1/4 Pie Mold: H&C (CJ) Inlay: SCA-WHITE Quantity: 1600 Catalog#: N3686 Contributed by: Gary Acquistapace Show"
[],
