image_urls,chip_info
"['http://themogh.org/cg_pix/nv/40502.jpeg', 'http://themogh.org/cg_pix/nv/40502a.jpeg']",CG040502 Obsolete Denom: 25¢ Issued: 1962 Added: 2011-08-03 Last Update: 2011-08-03 Color: GRAY Mold: H&C (CJ) Inlay: HS Gold Catalog#: N3939.C Contributed by: Albert Scalzo (LM-2995-2) Cancelled Show
['http://themogh.org/cg_pix/nv/57512.jpg'],CG057512 Obsolete Denom: 25¢ Issued: 1962 Added: 2011-12-11 Last Update: 2011-12-11 Color: GRAY Mold: H&C (CJ) Inlay: HS Gold Catalog#: N3939 Contributed by: Alex Cilento Show
['http://themogh.org/cg_pix/nv/s/21031.jpg'],CG021031 Obsolete Denom: $1 Issued: 1962 Last Update: 2016-10-08 Color: Orange Mold: H&C (CJ) Inlay: HS-GOLD Catalog#: N3854 Contributed by: Marty Robbins Show
['http://themogh.org/cg_pix/nv/s/21032.jpg'],CG021032 Obsolete Denom: $1 Issued: 1962 Last Update: 2016-10-08 Color: Orange Mold: H&C (CJ) Inlay: HS-GOLD Catalog#: N3854.C Contributed by: Marty Robbins Overstamped zigzag circle Show
[],CG170861 Obsolete Denom: $1 Issued: 1962 Added: 2016-10-08 Last Update: 2016-10-08 Color: Orange Mold: H&C (CJ) Inlay: HS-GOLD Catalog#: N3854.C2 Overstamped NON-NEGOTIABLE Show
[],
[],
