image_urls,chip_info
['http://themogh.org/cg_pix/nv/185042.jpg'],CG185042 Obsolete Denom: 50¢ Issued: 2017 Added: 2017-10-15 Last Update: 2022-01-24 Color: Yellow Mold: H&C (RHC) Inlay: HS Gold Logo: Bighorn Sheep Catalog#: D2561 Contributed by: Roger Herman Updated by: Ross Poppel Show
['http://themogh.org/cg_pix/nv/19221.jpg'],CG019221 Current Denom: $1 Issued: 2005 Last Update: 2013-10-27 Color: Gray Inserts: 2-Dk Red 2-White Mold: H&C (RHC) Inlay: OR-MULTI-WG Logo: Bighorn Sheep Catalog#: E5007 Contributed by: Greg Susong Show
['http://themogh.org/cg_pix/nv/30703.jpg'],CG030703 Obsolete Denom: $5 Issued: 1997 Added: 2011-02-01 Last Update: 2022-04-24 Color: Red Inserts: 4 Purple/Yellow Mold: H&C (RHC) Inlay: OOR-MULTI Logo: Bighorn Sheep Catalog#: N7997 Contributed by: Marty Robbins Show
['http://themogh.org/cg_pix/nv/73420.jpg'],CG073420 Current Denom: $25 Issued: 1997 Added: 2012-05-08 Last Update: 2022-04-24 Color: Green Inserts: 3 Blue/Gray/Pink Mold: H&C (RHC) Inlay: OOR-MULTI Logo: Bighorn Sheep Catalog#: N7998 Contributed by: Terry Shaffer Show
[],
