image_urls,chip_info
['http://themogh.org/cg_pix/nv/04614.jpg'],CG004614 Obsolete Denom: $1 Issued: 1979 Last Update: 2013-12-28 Color: BLUE Inserts: 3-Gray Mold: H&C (LCV) Inlay: HS-GOLD Catalog#: N7486 Contributed by: Greg Susong Show
['http://themogh.org/cg_pix/nv/53043.jpg'],"CG053043 Obsolete Denom: $5 Issued: 1979 Added: 2011-11-08 Last Update: 2019-09-20 Color: Red Inserts: 3 Orange, 3 Gray Mold: H&C (LCV) Catalog#: N5019 Contributed by: Gary Acquistapace Show"
['http://themogh.org/cg_pix/nv/53044.jpg'],CG053044 Obsolete Denom: $25 Issued: 1979 Added: 2011-11-08 Last Update: 2019-09-20 Color: Green Inserts: 3 Wh/Pi Mold: H&C (LCV) Inlay: SCA-WHITE Catalog#: N5018 Contributed by: Terry Shaffer Show
['http://themogh.org/cg_pix/nv/246356.jpg'],"CG246356 Obsolete Denom: $25 Issued: 1979 Added: 2020-07-09 Color: Green Inserts: 3 White/Pink Mold: H&C (LCV) Inlay: SCA-White Logo: Mine Entrance Catalog#: N5018 Contributed by: David Pait Insert error, one set is Pink/White. Show"
[],
