image_urls,chip_info
['http://themogh.org/cg_pix/nv/167256.jpg'],CG167256 Obsolete Denom: $5 Added: 2016-07-23 Color: Mustard Inserts: 3blk Mold: SmKey Inlay: HS Gold Catalog#: NotInTCR Contributed by: David Sarles Show
"['http://themogh.org/cg_pix/nv/042040.jpg', 'http://themogh.org/cg_pix/nv/42040a.jpg']",CG042040 Obsolete Denom: $5 Added: 2011-08-25 Last Update: 2017-09-29 Color: Red Mold: ZigZag Inlay: HS-GOLD Catalog#: N3194 Contributed by: Frank Steward Show
"['http://themogh.org/cg_pix/nv/45325.jpg', 'http://themogh.org/cg_pix/nv/45325a.jpg']",CG045325 Obsolete Denom: $5 Issued: 1952 Added: 2011-09-30 Last Update: 2012-04-02 Color: NAVY Mold: ZigZag Catalog#: N3193 Contributed by: Frank Steward Show
"['http://themogh.org/cg_pix/nv/94070.jpg', 'http://themogh.org/cg_pix/nv/94070a.jpg']",CG094070 Obsolete Denom: $25 Issued: 1952 Added: 2012-12-08 Last Update: 2012-12-08 Color: Black Mold: ZigZag Inlay: HS Gold Catalog#: N9494 Contributed by: Frank Steward Show
[],
[],
