image_urls,chip_info
['http://themogh.org/cg_pix/nv/71861.jpg'],CG071861 Obsolete Denom: 1¢ Issued: 1980 Added: 2012-04-20 Last Update: 2019-08-25 Color: Orange Inserts: 4 Brown Mold: H&C (SCV) Inlay: HS-GOLD Catalog#: N2333 Contributed by: Terry Shaffer Show
['http://themogh.org/cg_pix/nv/30525.jpg'],CG030525 Obsolete Denom: 5¢ Issued: 1980 Added: 2011-01-30 Last Update: 2019-01-10 Color: Green Inserts: 4 Fuchsia Mold: H&C (SCV) Inlay: HS-GOLD Catalog#: N2335 Contributed by: Terry Shaffer Show
['http://themogh.org/cg_pix/nv/30526.jpg'],CG030526 Obsolete Denom: 10¢ Issued: 1980 Added: 2011-01-30 Last Update: 2019-01-10 Color: Hot Pink Inserts: 4 Black Mold: H&C (SCV) Inlay: HS-GOLD Catalog#: N4937 Contributed by: Terry Shaffer Show
['http://themogh.org/cg_pix/nv/37501.jpg'],CG037501 Obsolete Denom: 25¢ Issued: 1980 Added: 2011-05-30 Last Update: 2012-03-01 Color: PINK Mold: H&C (SCV) Inlay: HS-GOLD Catalog#: N4936 Contributed by: Ross Poppel Show
['http://themogh.org/cg_pix/nv/37500.jpg'],CG037500 Obsolete Denom: 25¢ Issued: 1990s Added: 2011-05-30 Last Update: 2012-03-01 Color: RED Mold: H&C (SCV) Inlay: OR-WHITE Logo: Peanuts Catalog#: V7834 Contributed by: Ross Poppel Show
['http://themogh.org/cg_pix/nv/145273.jpg'],CG145273 Obsolete Denom: 25¢ Issued: 1992 Added: 2015-06-20 Last Update: 2017-02-16 Color: Pink Mold: H&C (LCV) Inlay: OR-WHITE Logo: Peanuts Catalog#: N3126.L Contributed by: Luke Rapley NGCB lists chip's issue date as 05/29/92 and the chip's color as watermelon. Show
['http://themogh.org/cg_pix/nv/37499.jpg'],CG037499 Obsolete Denom: 25¢ Issued: 1993 Added: 2011-05-30 Last Update: 2017-02-16 Color: Pink Mold: H&C (SCV) Inlay: OR-WHITE Logo: Peanuts Catalog#: N3126.S Contributed by: Ross Poppel NGCB lists chip's issue date as 05/29/92 and the chip's color as watermelon. Show
['http://themogh.org/cg_pix/nv/37502.jpg'],CG037502 Obsolete Denom: 50¢ Issued: 1980 Added: 2011-05-30 Last Update: 2017-02-16 Color: Yellow Mold: H&C (SCV) Inlay: HS-GOLD Catalog#: N2996 Contributed by: Ross Poppel Show
['http://themogh.org/cg_pix/nv/37503.jpg'],CG037503 Obsolete Denom: 50¢ Issued: 1992 Added: 2011-05-30 Last Update: 2017-02-16 Color: Yellow Inserts: 4 Day Blue Mold: H&C (SCV) Inlay: OR-WHITE Logo: Peanuts Catalog#: N7370.S Contributed by: Ross Poppel NGCB lists this chip's issue date as 09/14/92. Show
['http://themogh.org/cg_pix/nv/18613.jpg'],CG018613 Obsolete Denom: $1 Issued: 1980 Last Update: 2015-01-20 Color: LT BLUE Inserts: 4-Yellow Mold: H&C (SCV) Inlay: R-YELLOW Logo: Horse Catalog#: N4938 Contributed by: Terry Shaffer HORSE BOOK Show
['http://themogh.org/cg_pix/nv/18137.jpg'],CG018137 Obsolete Denom: $1 Issued: 1993 Last Update: 2017-02-16 Color: Lt Blue Inserts: 4-Yellow Mold: H&C (SCV) Inlay: OR-WHITE Logo: Peanuts Catalog#: N2396.S Contributed by: Greg Susong PEANUT HOUSE SALOON NGCB lists chip's issue date as 05/29/92. Show
['http://themogh.org/cg_pix/nv/30858.jpg'],CG030858 Obsolete Denom: $1 Issued: 1992 Added: 2011-02-06 Last Update: 2017-02-16 Color: Lt Blue Inserts: 4-Yellow Mold: H&C (LCV) Inlay: OR-WHITE Logo: Peanuts Catalog#: N2396.L Contributed by: Luke Rapley PEANUT HOUSE SALOON NGCB lists chip's issue date as 05/29/92. Show
['http://themogh.org/cg_pix/nv/37504.jpg'],CG037504 Obsolete Denom: $4 Issued: 1992 Added: 2011-05-30 Last Update: 2019-09-18 Color: Gold Inserts: 4-Green Mold: H&C (LCV) Inlay: HUB-WHITE Logo: Peanuts Catalog#: N7371 Contributed by: Ross Poppel NGCB lists chip's issue date as 05/29/92. Show
['http://themogh.org/cg_pix/nv/71866.jpg'],CG071866 Obsolete Denom: $5 Issued: 1980 Added: 2012-04-20 Last Update: 2019-08-25 Color: Red Inserts: 4 Purple Mold: H&C (SCV) Inlay: HUB-YELLOW Catalog#: N2381 Contributed by: Terry Shaffer Horse Book Show
['http://themogh.org/cg_pix/nv/37505.jpg'],CG037505 Obsolete Denom: $5 Issued: 1992 Added: 2011-05-30 Last Update: 2017-02-16 Color: Red Inserts: 4 Purple Mold: H&C (SCV) Inlay: SCA-WHITE Logo: Peanuts Catalog#: N2380 Contributed by: Ross Poppel NGCB lists chip's issue date as 09/08/92. Show
['http://themogh.org/cg_pix/nv/37506.jpg'],CG037506 Obsolete Denom: $20 Issued: 1992 Added: 2011-05-30 Last Update: 2019-09-18 Color: Gray Inserts: 4 Hot Pink Mold: H&C (LCV) Inlay: COG-WHITE Logo: Peanuts Catalog#: N7953 Contributed by: Ross Poppel NGCB lists chip's issue date as 09/14/92. Show
['http://themogh.org/cg_pix/nv/190306.jpg'],CG190306 Obsolete Denom: $25 Issued: 1980 Added: 2017-12-18 Color: Green Inserts: 3 Peach/3light Blue Mold: H&C (SCV) Inlay: SCA-Blue Logo: Horse Book Catalog#: N2520 Contributed by: David Sarles Show
[],
