image_urls,chip_info
['http://themogh.org/cg_pix/nv/280895.jpg'],CG280895 Current Denom: $1 Issued: 2021 Added: 2022-03-01 Last Update: 2022-04-02 Color: Blue Inserts: 3 Pi Mold: H&C (RHC) Contributed by: Luke Rapley Show
['http://themogh.org/cg_pix/nv/280896.jpg'],"CG280896 Current Denom: $5 Issued: 2021 Added: 2022-03-01 Color: Red Inserts: 2 Bl, 2 sxs Ye Mold: H&C (RHC) Show"
['http://themogh.org/cg_pix/nv/284180.jpg'],"CG284180 Current Denom: $25 Issued: 2021 Added: 2022-05-07 Color: Green Inserts: 2 Lt-Green, 2 Pc/Lgn/Hpi Mold: H&C (RHC) Contributed by: David Moors Show"
['http://themogh.org/cg_pix/nv/284181.jpg'],CG284181 Current Denom: $100 Issued: 2021 Added: 2022-05-07 Color: Black Inserts: 3 Lt-Green/Pink Mold: H&C (RHC) Contributed by: Rebecca Oates Show
['http://themogh.org/cg_pix/nv/284182.jpg'],CG284182 Current Denom: $500 Issued: 2021 Added: 2022-05-07 Color: White Inserts: 4 Blue/Dk-Blue Mold: H&C (RHC) Contributed by: Rebecca Oates Show
[],
