image_urls,chip_info
['http://themogh.org/cg_pix/nv/40510.jpg'],CG040510 Obsolete Issued: 1980 Added: 2011-08-03 Last Update: 2016-07-12 Color: White Mold: H&C (SCV) Inlay: HS-GOLD Logo: Cowboy Face Catalog#: V6748 Contributed by: Albert Scalzo (LM-2995-2) Show
['http://themogh.org/cg_pix/nv/154209.jpg'],CG154209 Obsolete Issued: 1980 Added: 2015-12-13 Last Update: 2016-07-12 Color: Red Mold: H&C (SCV) Inlay: HS-GOLD Logo: Cowboy Face Catalog#: D2102 Contributed by: Steve Clark Show
['http://themogh.org/cg_pix/nv/189412.jpg'],CG189412 Obsolete Issued: 1980 Added: 2017-12-09 Last Update: 2021-07-27 Color: Green Mold: H&C (SCV) Inlay: HS-GOLD Logo: Cowboy Face Catalog#: D2980 Contributed by: Keith C. Elliott Show
[],
