image_urls,chip_info
"['http://themogh.org/cg_pix/nv/297167.jpg', 'http://themogh.org/cg_pix/nv/297167a.jpg']",CG297167 Obsolete Denom: 25¢ Issued: 1955 Added: 2022-12-17 Color: Beige Mold: H&C (CJ) Inlay: HS Gold Catalog#: E5922 Contributed by: Alex Cilento Show
"['http://themogh.org/cg_pix/nv/45197.jpg', 'http://themogh.org/cg_pix/nv/45197a.jpg']",CG045197 Obsolete Denom: 25¢ Issued: 1962 Added: 2011-09-29 Last Update: 2012-02-26 Color: PURPLE Mold: H&C (CJ) Inlay: HS-GOLD Catalog#: V3638 Contributed by: Alex Cilento Show
"['http://themogh.org/cg_pix/nv/45198.jpg', 'http://themogh.org/cg_pix/nv/45198a.jpg']",CG045198 Obsolete Denom: 50¢ Issued: 1955 Added: 2011-09-29 Last Update: 2012-02-26 Color: Green Mold: H&C (CJ) Inlay: HS-GOLD Catalog#: N3916 Contributed by: Alex Cilento Show
"['http://themogh.org/cg_pix/nv/19386.jpg', 'http://themogh.org/cg_pix/nv/19386a.jpg']",CG019386 Obsolete Denom: $1 Issued: 1955 Last Update: 2015-01-20 Color: PINK Mold: H&C (CJ) Inlay: HS-GOLD Logo: AL's Catalog#: N3847 Contributed by: Greg Susong Show
"['http://themogh.org/cg_pix/nv/30706.jpg', 'http://themogh.org/cg_pix/nv/30706a.jpg']",CG030706 Obsolete Denom: $5 Issued: 1955 Added: 2011-02-01 Last Update: 2020-05-02 Color: Navy Mold: H&C (CJ) Inlay: HS-GOLD Catalog#: N1321 Contributed by: Alex Cilento Show
[],
[],
