image_urls,chip_info
"['http://themogh.org/cg_pix/nv/127704.jpg', 'http://themogh.org/cg_pix/nv/127704a.jpg']",CG127704 Obsolete Issued: 1931 Added: 2017-05-29 Last Update: 2017-05-29 Color: Beige Mold: C&S Inlay: OR-White Logo: Keno in Reno Quantity: 500 Catalog#: N0054 Contributed by: David Sarles Show
"['http://themogh.org/cg_pix/nv/210923.jpg', 'http://themogh.org/cg_pix/nv/210923a.jpg']",CG210923 Obsolete Issued: 1931 Added: 2018-09-11 Color: Black Mold: C&S Inlay: OR-White Logo: Keno in Reno Quantity: 500 Catalog#: NotInTCR Show
[],CG127705 Obsolete Denom: 50¢ Issued: 1931 Added: 2014-05-20 Last Update: 2014-05-20 Color: RED Mold: C&S Inlay: OR-WHITE Logo: Keno in Reno Quantity: 300 Catalog#: N3236 Show
"['http://themogh.org/cg_pix/nv/022275.jpg', 'http://themogh.org/cg_pix/nv/022275a.jpg']",CG022275 Obsolete Denom: $1 Issued: 1931 Last Update: 2014-01-07 Color: Green Mold: C&S Inlay: OR-WHITE Logo: Keno in Reno Quantity: 200 Catalog#: N6232 Contributed by: Rich Hanover Show
['http://themogh.org/cg_pix/nv/127706.jpg'],CG127706 Obsolete Denom: $5 Issued: 1931 Added: 2016-05-06 Last Update: 2016-05-06 Color: Black Mold: C&S Inlay: OR-WHITE Logo: Keno in Reno Quantity: 500 Catalog#: N6215 Contributed by: David Sarles Show
[],
