image_urls,chip_info
['http://themogh.org/cg_pix/nv/191968.jpg'],"CG191968 Obsolete Issued: 1964 Added: 2018-01-03 Color: Red, Green Inserts: Red/Green 1/4 Pie Mold: SCrown Inlay: HS-GOLD Quantity: 2000 Catalog#: N6922 Contributed by: Tom Deason Show"
['http://themogh.org/cg_pix/nv/130126.jpg'],CG130126 Obsolete Denom: 25¢ Issued: 1960s Added: 2014-07-06 Last Update: 2017-08-24 Color: Orange Mold: H&C (CJ) Inlay: HS-GOLD Catalog#: NotInTCR Contributed by: Christopher Norris Show
['http://themogh.org/cg_pix/nv/67243.jpg'],CG067243 Obsolete Denom: 25¢ Issued: 1965 Added: 2012-03-11 Last Update: 2012-03-11 Color: Burnt Orange Mold: DieCar Inlay: HS-GOLD Logo: Eldorado Club Catalog#: N0988 Contributed by: Terry Shaffer Show
