image_urls,chip_info
['http://themogh.org/cg_pix/nv/198321.jpg'],CG198321 Obsolete Issued: 1954 Added: 2018-03-26 Last Update: 2022-09-24 Color: Mustard Mold: ZigZag Inlay: HS Gold Logo: CB Catalog#: D1027 Contributed by: David Sarles Show
['http://themogh.org/cg_pix/nv/292514.jpg'],CG292514 Obsolete Issued: 1954 Added: 2022-09-24 Last Update: 2022-09-24 Color: Red Mold: ZigZag Inlay: HS Gold Logo: CB Catalog#: NotinTCR Contributed by: David Sarles Show
['http://themogh.org/cg_pix/nv/292515.jpg'],CG292515 Obsolete Issued: 1954 Added: 2022-09-24 Last Update: 2022-09-24 Color: Beige Mold: ZigZag Inlay: HS Gold Logo: CB Catalog#: NotinTCR Contributed by: David Sarles Show
['http://themogh.org/cg_pix/nv/292516.jpg'],CG292516 Obsolete Issued: 1954 Added: 2022-09-24 Last Update: 2022-09-24 Color: Green Mold: ZigZag Inlay: HS Gold Logo: CB Catalog#: NotinTCR Contributed by: David Sarles Show
"['http://themogh.org/cg_pix/nv/191963.jpg', 'http://themogh.org/cg_pix/nv/191963a.jpg']",CG191963 Obsolete Denom: 10¢ Issued: 1954 Added: 2018-01-03 Color: Beige Mold: Zigzag Inlay: HS Gold Logo: CB Catalog#: N7894 Contributed by: Tom Deason Show
"['http://themogh.org/cg_pix/nv/191964.jpg', 'http://themogh.org/cg_pix/nv/191964a.jpg']",CG191964 Obsolete Denom: 25¢ Issued: 1954 Added: 2018-01-03 Color: Rose Mold: Zigzag Inlay: HS Gold Logo: CB Catalog#: N7892 Contributed by: Tom Deason Show
"['http://themogh.org/cg_pix/nv/191965.jpg', 'http://themogh.org/cg_pix/nv/191965a.jpg']",CG191965 Obsolete Denom: $5 Issued: 1954 Added: 2018-01-03 Color: Blue Mold: Zigzag Inlay: HS Gold Logo: CB Catalog#: N7885 Contributed by: Tom Deason Show
[],
