image_urls,chip_info
['http://themogh.org/cg_pix/nv/254412.jpg'],CG254412 Current Denom: $1 Issued: 10/28/2020 Added: 2020-10-28 Last Update: 2023-02-20 Color: White Inserts: 3-Green Mold: H&C (RHC) Inlay: OOR-BEIGE Catalog#: D3113 Contributed by: Roger Herman Show
['http://themogh.org/cg_pix/nv/254413.jpg'],CG254413 Current Denom: $5 Issued: 10/28/2020 Added: 2020-10-28 Last Update: 2023-02-20 Color: Red Inserts: 3-Blue Mold: H&C (RHC) Inlay: OOR-PINK Catalog#: D3114 Contributed by: Roger Herman Show
['http://themogh.org/cg_pix/nv/254414.jpg'],CG254414 Current Denom: $25 Issued: 10/28/2020 Added: 2020-10-28 Last Update: 2023-02-20 Color: Green Inserts: 3-Red 3-Lavender Mold: H&C (RHC) Inlay: OOR-LT GREEN Catalog#: D3115 Show
['http://themogh.org/cg_pix/nv/254415.jpg'],CG254415 Current Denom: $100 Issued: 10/28/2020 Added: 2020-10-28 Last Update: 2023-02-20 Color: Black Inserts: 3-Blue 3-Yellow Mold: H&C (RHC) Inlay: OOR-GRAY Catalog#: N3116 Show
['http://themogh.org/cg_pix/nv/254416.jpg'],CG254416 Current Denom: $500 Issued: 10/28/2020 Added: 2020-10-28 Last Update: 2023-02-20 Color: Purple Inserts: 4-Green 2-Blue Mold: H&C (RHC) Inlay: OOR-LAVENDER Catalog#: D3117 Show
['http://themogh.org/cg_pix/nv/254417.jpg'],CG254417 Current Denom: $1000 Issued: 10/28/2020 Added: 2020-10-28 Last Update: 2023-02-20 Color: Yellow Inserts: 2-Gray 2-Brown/Tan/Brown Mold: H&C (RHC) Inlay: OOR-YELLOW Catalog#: D3118 Show
[],
