image_urls,chip_info
['http://themogh.org/cg_pix/nv/20001.jpg'],CG020001 Obsolete Denom: $1 Issued: 1980s Last Update: 2013-12-09 Color: BLUE Mold: H&C (SCV) Inlay: HS-GOLD Catalog#: N2827 Contributed by: Justin Kelley Show
['http://themogh.org/cg_pix/nv/71148.jpg'],"CG071148 Obsolete Denom: $5 Issued: 1980s Added: 2012-04-08 Last Update: 2014-07-12 Color: RED Inserts: 4 Yellow, 4 Pink Mold: H&C (SCV) Inlay: HS-GOLD Catalog#: N5007 Contributed by: Justin Kelley Show"
['http://themogh.org/cg_pix/nv/130842.jpg'],"CG130842 Obsolete Denom: $25 Issued: 1980s Added: 2014-07-12 Last Update: 2015-10-07 Color: Green Inserts: 3 Lt Blue, 3 Orange, 3 Purple Mold: H&C (SCV) Inlay: HS-GOLD Catalog#: N2703 Updated by: Steve Clark Show"
[],
