image_urls,chip_info
['http://themogh.org/cg_pix/nv/200541.jpg'],CG200541 Current Denom: $1000 Added: 2018-05-05 Color: Beige Mold: NEVADA Inlay: HS Gold Catalog#: NotInTCR Contributed by: Gene Trimble Show
['http://themogh.org/cg_pix/nv/200542.jpg'],CG200542 Current Denom: $1000 Added: 2018-05-05 Color: Red Mold: NEVADA Inlay: HS Gold Catalog#: NotInTCR Contributed by: Gene Trimble Show
['http://themogh.org/cg_pix/nv/200543.jpg'],CG200543 Current Denom: $1000 Added: 2018-05-05 Color: Blue Mold: NEVADA Inlay: HS Gold Catalog#: NotInTCR Contributed by: Gene Trimble Show
[],
