image_urls,chip_info
['http://themogh.org/cg_pix/nv/19397.jpg'],CG019397 Obsolete Denom: $1 Issued: 1993 Last Update: 2014-01-04 Color: White Inserts: 4-Blue Mold: H&C (RHC) Inlay: OR-WHITE Logo: Sheraton logo Catalog#: N2330 Contributed by: Greg Susong Show
['http://themogh.org/cg_pix/nv/18732.jpg'],CG018732 Obsolete Denom: $1 Issued: 1994 Last Update: 2014-01-04 Color: White Inserts: 4-Blue Mold: House Inlay: OR-WHITE Logo: Sheraton logo Catalog#: N4538 Contributed by: Greg Susong Show
['http://themogh.org/cg_pix/nv/36391.jpg'],CG036391 Obsolete Denom: $5 Issued: 1993 Added: 2011-05-11 Last Update: 2018-11-29 Color: Red Inserts: 4 Pink Mold: H&C (RHC) Inlay: White Logo: Wreath Catalog#: N2353 Contributed by: Ross Poppel Show
['http://themogh.org/cg_pix/nv/36390.jpg'],CG036390 Obsolete Denom: $5 Issued: 1994 Added: 2011-05-11 Last Update: 2011-05-11 Color: White Inserts: 4 Pk Mold: House Inlay: White Logo: Wreath Catalog#: N4547 Contributed by: Ross Poppel Show
['http://themogh.org/cg_pix/nv/34279.jpg'],CG034279 Obsolete Denom: $25 Issued: 1993 Added: 2011-04-04 Last Update: 2011-04-04 Color: Green Inserts: 4 Gn Mold: H&C (RHC) Catalog#: N2338 Show
['http://themogh.org/cg_pix/nv/58294.jpg'],CG058294 Obsolete Denom: $25 Issued: 1994 Added: 2011-12-20 Last Update: 2011-12-20 Color: Green Inserts: 4 Gn Mold: House Inlay: OR-White Logo: Wreath Catalog#: N4544 Contributed by: Alex Cilento Show
['http://themogh.org/cg_pix/nv/168493.jpg'],CG168493 Obsolete Denom: $100 Added: 2016-08-17 Last Update: 2016-08-17 Color: Black Inserts: 6prp Mold: House Catalog#: NotInTCR Contributed by: David Sarles Notched Show
['http://themogh.org/cg_pix/nv/58295.jpg'],CG058295 Obsolete Denom: $100 Issued: 1993 Added: 2011-12-20 Last Update: 2019-09-19 Color: Black Inserts: 4 Ye/Pk/Gn Mold: H&C (RHC) Inlay: OR-White Logo: Wreath Catalog#: N1139 Contributed by: Alex Cilento Show
['http://themogh.org/cg_pix/nv/32223.jpg'],CG032223 Obsolete Denom: $100 Issued: 1994 Added: 2011-02-24 Last Update: 2016-08-17 Color: Black Inserts: 6 Yellow Mold: House Catalog#: N4445 Show
['http://themogh.org/cg_pix/nv/179498.jpg'],CG179498 Obsolete Denom: $500 Added: 2017-05-18 Color: Lavender Inserts: 6 White/3 Pink Mold: House Inlay: OR-White Logo: Wreath S Catalog#: NotInTCR Contributed by: David Sarles Oversize Show
['http://themogh.org/cg_pix/nv/179490.jpg'],CG179490 Obsolete Denom: $1000 Added: 2017-05-18 Color: Yellow Inserts: 3 Blue Mold: House Inlay: OR-White Logo: Wreath S Catalog#: NotInTCR Contributed by: David Sarles Baccarat - oversize Show
['http://themogh.org/cg_pix/nv/179491.jpg'],CG179491 Obsolete Denom: $1000 Added: 2017-05-18 Color: Yellow Inserts: 3 Pink/3-Lt Blue Mold: House Inlay: OR-White Logo: Wreath S Catalog#: NotInTCR Contributed by: David Sarles Baccarat - oversize Show
['http://themogh.org/cg_pix/nv/179492.jpg'],CG179492 Obsolete Denom: $1000 Added: 2017-05-18 Color: Yellow Inserts: 3 Blue Mold: House Inlay: OR-White Logo: Wreath S Catalog#: NotInTCR Contributed by: David Sarles Race and Sports Book - Oversize Show
['http://themogh.org/cg_pix/nv/179497.jpg'],CG179497 Obsolete Denom: $1000 Added: 2017-05-18 Color: Yellow Inserts: 3 Blue Mold: House Inlay: OR-White Logo: Wreath S Catalog#: NotInTCR Contributed by: David Sarles Oversize Show
['http://themogh.org/cg_pix/nv/58296.jpg'],CG058296 Obsolete Denom: $1000 Issued: 1994 Added: 2011-12-20 Last Update: 2011-12-20 Color: Yellow Inserts: 3 Bl/Rd Mold: House Inlay: OR-White Logo: Wreath Catalog#: V2330.C Contributed by: Alex Cilento Show
['http://themogh.org/cg_pix/nv/179488.jpg'],CG179488 Obsolete Denom: $5000 Added: 2017-05-18 Last Update: 2017-05-18 Color: Orange Inserts: 8 Brown/4 White Mold: House Inlay: OR-White Logo: Wreath S Catalog#: NotInTCR Contributed by: David Sarles Baccarat - oversize Show
['http://themogh.org/cg_pix/nv/179489.jpg'],CG179489 Obsolete Denom: $5000 Added: 2017-05-18 Color: Orange Inserts: 2 V White/2split V Brown/2whit Mold: House Inlay: OR-White Logo: Wreath S Catalog#: NotInTCR Contributed by: David Sarles Baccarat - oversize Show
['http://themogh.org/cg_pix/nv/179496.jpg'],CG179496 Obsolete Denom: $5000 Added: 2017-05-18 Color: Orange Inserts: 4 Purple Mold: House Inlay: OR-White Logo: S wreath Catalog#: NotInTCR Contributed by: David Sarles Race & Sports - Oversize Show
['http://themogh.org/cg_pix/nv/179500.jpg'],CG179500 Obsolete Denom: $5000 Added: 2017-05-18 Color: Orange Inserts: 2 V White/2split V Brown/2whit Mold: House Inlay: OR-White Logo: Wreath S Catalog#: NotInTCR Contributed by: David Sarles Oversize - slight uneven print on the inserts Show
['http://themogh.org/cg_pix/nv/179501.jpg'],CG179501 Obsolete Denom: $5000 Added: 2017-05-18 Color: Orange Inserts: 8 Brown/4 White Mold: House Inlay: OR-White Logo: Wreath S Catalog#: NotInTCR Contributed by: David Sarles Oversize Show
['http://themogh.org/cg_pix/nv/179494.jpg'],CG179494 Obsolete Denom: $25000 Added: 2017-05-18 Color: Navy Inserts: 4 V Pink/4 V White Mold: House Inlay: OR-White Logo: S wreath Catalog#: NotInTCR Contributed by: David Sarles Baccarat - Oversize Show
['http://themogh.org/cg_pix/nv/179495.jpg'],CG179495 Obsolete Denom: $25000 Added: 2017-05-18 Color: Blue Inserts: 4 V Pink/4 V White Mold: House Inlay: OR-White Logo: S wreath Catalog#: NotInTCR Contributed by: David Sarles Baccarat - Oversize Show
['http://themogh.org/cg_pix/nv/179493.jpg'],CG179493 Obsolete Denom: $100000 Added: 2017-05-18 Last Update: 2017-05-18 Color: Yellow Inserts: 3 Lt. Blue Mold: Plain Inlay: OR-Black Logo: Small S wreath Catalog#: NotInTCR Contributed by: David Sarles Baccarat - Oversize Show
[],
