image_urls,chip_info,issue_date,is_obsolete,has_valid_image
['http://themogh.org/cg_pix/nv/67067.jpg'],CG067067 Current Denom: 10¢ Issued: 1997 Added: 2012-03-11 Last Update: 2017-03-08 Color: Brown Mold: H&C (RHC) Inlay: OOR-MULTI-FG Logo: Pony Express Catalog#: N9352 Contributed by: Gary Acquistapace NGCB lists chip color as Chocolate. Show,2012-03-11,False,True
['http://themogh.org/cg_pix/nv/67068.jpg'],CG067068 Current Denom: 25¢ Issued: 1976 Added: 2012-03-11 Last Update: 2019-09-22 Color: Pink Mold: H&C (LCV) Inlay: HS Gold Catalog#: N3056 Contributed by: Gary Acquistapace Show,2012-03-11,False,True
['http://themogh.org/cg_pix/nv/67069.jpg'],CG067069 Current Denom: 25¢ Issued: 1997 Added: 2012-03-11 Last Update: 2019-09-22 Color: Peach Mold: H&C (RHC) Inlay: OOR-MULTI-FG Catalog#: N9353 Contributed by: Gary Acquistapace Pony Express Show,2012-03-11,False,True
['http://themogh.org/cg_pix/nv/71219.jpg'],CG071219 Current Denom: $2.50 Issued: 1997 Added: 2012-04-09 Last Update: 2017-03-08 Color: Hot Pink Inserts: 1-Lavender 1-Purple Mold: H&C (RHC) Inlay: OOR-MULTI-FG Logo: Pony Express Catalog#: N9355 Contributed by: Justin Kelley NGCB lists insert colors of Blue & Grey. Show,2012-04-09,False,True
['http://themogh.org/cg_pix/nv/57204.jpg'],CG057204 Current Denom: $5 Issued: 1976 Added: 2011-12-09 Last Update: 2011-12-09 Color: Brown Mold: Nevada Inlay: HS-GOLD Catalog#: N6043 Contributed by: Gary Acquistapace Show,2011-12-09,False,True
['http://themogh.org/cg_pix/nv/71220.jpg'],CG071220 Current Denom: $25 Issued: 1997 Added: 2012-04-09 Last Update: 2017-03-08 Color: Dk Green Inserts: 4-Ochre 4-Brown Mold: H&C (RHC) Inlay: OOR-MULTI-FG Logo: Pony Express Catalog#: N9357 Contributed by: Sheldon Cooper NGCB lists insert colors of Maroon & Gold. Show,2012-04-09,False,True
['http://themogh.org/cg_pix/nv/71221.jpg'],"CG071221 Current Denom: $100 Issued: 1997 Added: 2012-04-09 Last Update: 2017-03-08 Color: Black Inserts: 3-Brown 3-Yellow 3-Gray Mold: H&C (RHC) Inlay: OOR-MULTI-FG Logo: Pony Express Catalog#: N9358 Contributed by: Sheldon Cooper NGCB lists insert colors of Almond, Yellow & Gold. Show",2012-04-09,False,True
