image_urls,chip_info
['http://themogh.org/cg_pix/nv/40506.jpg'],CG040506 Obsolete Issued: 1949 Added: 2011-08-03 Last Update: 2012-04-11 Color: MUSTARD Mold: Arodie Inlay: HS-GOLD Catalog#: N1472 Contributed by: Terry Shaffer Show
"['http://themogh.org/cg_pix/nv/57704.jpg', 'http://themogh.org/cg_pix/nv/57704a.jpg']",CG057704 Obsolete Denom: $5 Issued: 1949 Added: 2011-12-15 Last Update: 2011-12-15 Color: Cream Mold: Arodie Inlay: HS Gold Logo: Logo Catalog#: N0372 Contributed by: Alex Cilento Show
"['http://themogh.org/cg_pix/nv/57705.jpg', 'http://themogh.org/cg_pix/nv/57705a.jpg']",CG057705 Obsolete Denom: $25 Issued: 1949 Added: 2011-12-15 Last Update: 2011-12-15 Color: Navy Mold: Arodie Inlay: HS Gold Logo: Logo Catalog#: N8102 Contributed by: Alex Cilento Show
[],
