image_urls,chip_info
['http://themogh.org/cg_pix/nv/63305.jpg'],"CG063305 Obsolete Denom: 25¢ Issued: 1962 Added: 2012-02-15 Last Update: 2021-01-14 Color: Mustard Inserts: 3-Maroon Mold: HHL Inlay: R-WHITE Quantity: 1000 Catalog#: N7733.C Contributed by: Alex Cilento Chip order cards show this chip was ordered on October 20, 1963. Show"
['http://themogh.org/cg_pix/nv/191814.jpg'],CG191814 Obsolete Denom: 25¢ Issued: 1962 Added: 2018-01-02 Last Update: 2021-01-14 Color: Mustard Mold: HHR Inlay: R-WHITE Quantity: 3000 Catalog#: NotInTCR Contributed by: David Sarles Show
['http://themogh.org/cg_pix/nv/214960.jpg'],CG214960 Obsolete Denom: 25¢ Issued: 1962 Added: 2018-11-05 Color: Mustard Mold: HHL Inlay: R-White Catalog#: NotInTCR Contributed by: Greg Ikemoto Drilled Show
['http://themogh.org/cg_pix/nv/225717.jpg'],CG225717 Obsolete Denom: 25¢ Issued: 1962 Added: 2019-07-02 Color: Mustard Inserts: 3 Maroon Mold: HHL Inlay: R-White Catalog#: N7733.C Contributed by: Curt Squires Notched - by removing one insert Show
['http://themogh.org/cg_pix/nv/173960.jpg'],CG173960 Obsolete Denom: 50¢ Added: 2016-12-14 Color: Beige Mold: H&C (CJ) Inlay: HS Gold Catalog#: NotInTCR Contributed by: Joe Shaw Show
['http://themogh.org/cg_pix/nv/173961.jpg'],CG173961 Obsolete Denom: 50¢ Added: 2016-12-14 Color: Beige Mold: H&C (CJ) Inlay: HS Gold Catalog#: NotInTCR Contributed by: Joe Shaw Holed Show
['http://themogh.org/cg_pix/nv/63306.jpg'],CG063306 Obsolete Denom: 50¢ Issued: 1962 Added: 2012-02-15 Last Update: 2012-02-15 Color: Mustard Mold: Diamond Inlay: HS Gold Catalog#: NotInTCR Contributed by: Alex Cilento Cancellation hot stamp Show
"['http://themogh.org/cg_pix/nv/63307.jpg', 'http://themogh.org/cg_pix/nv/63307a.jpg']",CG063307 Obsolete Denom: 50¢ Issued: 1962 Added: 2012-02-15 Last Update: 2012-02-15 Color: Dk Blue Mold: Diamond Inlay: HS Gold Catalog#: V1180.C Contributed by: Alex Cilento Cancellation hot stamp Show
['http://themogh.org/cg_pix/nv/63308.jpg'],CG063308 Obsolete Denom: 50¢ Issued: 1962 Added: 2012-02-15 Last Update: 2012-02-15 Color: Maroon Mold: Diamond Inlay: HS Gold Catalog#: NotInTCR Contributed by: Alex Cilento Cancellation hot stamp Show
['http://themogh.org/cg_pix/nv/33487.jpg'],CG033487 Obsolete Denom: 50¢ Issued: 1962 Added: 2011-03-17 Last Update: 2011-03-17 Color: Red/Yellow Mold: H&C (CJ) Inlay: HS-GOLD Catalog#: N1505 Red dovetail Show
['http://themogh.org/cg_pix/nv/33488.jpg'],CG033488 Obsolete Denom: 50¢ Issued: 1962 Added: 2011-03-17 Last Update: 2011-03-17 Color: Red/Yellow Mold: H&C (CJ) Inlay: HS-GOLD Catalog#: N1505.1 Yellow dovetail Show
['http://themogh.org/cg_pix/nv/33489.jpg'],CG033489 Obsolete Denom: 50¢ Issued: 1962 Added: 2011-03-17 Last Update: 2012-04-11 Color: GREEN/RED Mold: H&C (CJ) Inlay: HS-GOLD Catalog#: N1504.1 Contributed by: Terry Shaffer Green dovetail Show
['http://themogh.org/cg_pix/nv/33490.jpg'],CG033490 Obsolete Denom: 50¢ Issued: 1962 Added: 2011-03-17 Last Update: 2011-03-17 Color: GREEN/RED Mold: H&C (CJ) Inlay: HS-GOLD Catalog#: N1504 Red dovetail Show
['http://themogh.org/cg_pix/nv/33491.jpg'],CG033491 Obsolete Denom: 50¢ Issued: 1962 Added: 2011-03-17 Last Update: 2012-04-11 Color: Green Mold: H&C (CJ) Inlay: HS-GOLD Catalog#: N1503 Contributed by: Terry Shaffer Show
['http://themogh.org/cg_pix/nv/88552.jpg'],CG088552 Obsolete Denom: 50¢ Issued: 1962 Added: 2012-08-09 Last Update: 2012-08-09 Color: Green/Maroon Inserts: Dovetail Green Mold: H&C (CJ) Inlay: HS-GOLD Catalog#: N4008.C Contributed by: Lance Robertson Green dovetail Show
['http://themogh.org/cg_pix/nv/88553.jpg'],CG088553 Obsolete Denom: 50¢ Issued: 1962 Added: 2012-08-09 Last Update: 2012-08-09 Color: Green/Maroon Inserts: Dovetail Red Mold: H&C (CJ) Inlay: HS-GOLD Catalog#: N4008.1C Contributed by: Lance Robertson Red dovetail Show
['http://themogh.org/cg_pix/nv/179363.jpg'],CG179363 Obsolete Denom: 50¢ Issued: 1962 Added: 2017-05-13 Color: Gray-Green/Red Mold: H&C (CJ) Inlay: HS Gold Catalog#: V9213 Contributed by: CCGTCC Auction Gray-Green dovetail Show
['http://themogh.org/cg_pix/nv/225718.jpg'],CG225718 Obsolete Denom: 50¢ Issued: 1962 Added: 2019-07-02 Color: Red/Yellow Mold: H&C (CJ) Inlay: HS-GOLD Catalog#: N1505.C Red dovetail - Drilled Show
"['http://themogh.org/cg_pix/nv/01340.jpg', 'http://themogh.org/cg_pix/nv/01340a.jpg']","CG001340 Obsolete Denom: $1 Issued: 1963 Last Update: 2023-04-15 Color: Purple Inserts: 3-Cream Mold: HHL Inlay: R-WHITE Quantity: 15000 Catalog#: N1956 Contributed by: Greg Susong Registration number on reverse. Chip order cards show this chip was ordered on October 20, 1963. Show"
