image_urls,chip_info
['http://themogh.org/cg_pix/nv/59102.jpg'],CG059102 Obsolete Denom: 25¢ Issued: 1982 Added: 2011-12-27 Last Update: 2011-12-27 Color: Orange Mold: House Inlay: HS Gold Catalog#: N4779 Contributed by: Alex Cilento Show
['http://themogh.org/cg_pix/nv/12119.jpg'],CG012119 Obsolete Denom: $1 Issued: 1982 Last Update: 2014-01-05 Color: Cream Mold: House Inlay: R-WHITE Logo: Bell Catalog#: N1557 Contributed by: DeeAnna LLC Show
['http://themogh.org/cg_pix/nv/40479.jpg'],CG040479 Obsolete Denom: $5 Issued: 1982 Added: 2011-08-03 Last Update: 2011-08-03 Color: RED Inserts: 4-Orange 4-Navy Mold: House Inlay: HUB-White Catalog#: N1556 Contributed by: Bruce Kay Show
['http://themogh.org/cg_pix/nv/32299.jpg'],CG032299 Obsolete Denom: $25 Issued: 1982 Added: 2011-02-25 Last Update: 2011-02-25 Color: Green Inserts: 4 Brn/Org Mold: House Catalog#: N4644 Show
['http://themogh.org/cg_pix/nv/59103.jpg'],CG059103 Obsolete Denom: $100 Issued: 1982 Added: 2011-12-27 Last Update: 2011-12-27 Color: Black Inserts: 3 Bl/Rd/Gn Mold: House Inlay: HEX-White Logo: Bell Catalog#: N8207 Contributed by: Alex Cilento Show
['http://themogh.org/cg_pix/nv/59104.jpg'],CG059104 Obsolete Denom: $500 Issued: 1982 Added: 2011-12-27 Last Update: 2011-12-27 Color: White Inserts: 3 Pk/Bk Mold: House Inlay: WHL-White Logo: Bell Catalog#: V6437 Contributed by: Alex Cilento Show
[],
