image_urls,chip_info
['http://themogh.org/cg_pix/nv/022192.jpg'],CG022192 Obsolete Issued: 1960s Added: 2020-09-27 Color: Brown Mold: SmKey Inlay: HS Gold Logo: Indian Chief Catalog#: V8210.br Contributed by: Luke Rapley Attributed to ... Show
['http://themogh.org/cg_pix/nv/106483.jpg'],CG106483 Obsolete Issued: 1960s Added: 2013-06-06 Last Update: 2013-06-06 Color: Beige Mold: SmKey Inlay: HS Gold Logo: Indian Chief Catalog#: V8210.be Contributed by: Steve Clark Attributed to ... Show
['http://themogh.org/cg_pix/nv/106484.jpg'],CG106484 Obsolete Issued: 1960s Added: 2013-06-06 Last Update: 2013-06-06 Color: Green Mold: SmKey Inlay: HS Gold Logo: Indian Chief Catalog#: V8210.gn Attributed to ... Show
['http://themogh.org/cg_pix/nv/180107.jpg'],CG180107 Obsolete Issued: 1960s Added: 2017-05-30 Color: Mustard Mold: SmKey Inlay: HS Gold Logo: Indian Chief Catalog#: V8210.mu Contributed by: David Sarles Attributed to ... Show
[],
