image_urls,chip_info
[],CG127664 Obsolete Issued: 1939 Added: 2014-05-20 Last Update: 2022-04-01 Color: Blue Mold: LCrown Inlay: HS-Gold Quantity: 180 Catalog#: E9620.bl BC/ Ely Show
[],CG127665 Obsolete Issued: 1939 Added: 2014-05-20 Last Update: 2022-04-01 Color: Pink Mold: LCrown Inlay: HS-Gold Quantity: 60 Catalog#: E9620.pi BC/ Ely Show
[],CG127666 Obsolete Issued: 1939 Added: 2014-05-20 Last Update: 2022-04-01 Color: Red Mold: LCrown Inlay: HS-Gold Quantity: 160 Catalog#: E9620.rd BC/ Ely Show
[],CG127663 Obsolete Issued: 1946 Added: 2014-05-20 Last Update: 2022-04-01 Color: Brown Mold: Hub Inlay: HS-Gold Quantity: 20 Catalog#: V7303 BC; Verified by Mason Files Show
['http://themogh.org/cg_pix/nv/41670.jpg'],CG041670 Obsolete Issued: 1953 Added: 2011-08-21 Last Update: 2022-04-01 Color: Beige Mold: Horshu Inlay: HS-Gold Logo: Slot Machine Catalog#: N3165.be Contributed by: Gary Acquistapace Attributed to Ely Show
['http://themogh.org/cg_pix/nv/41671.jpg'],CG041671 Obsolete Issued: 1953 Added: 2011-08-21 Last Update: 2022-04-01 Color: Maroon Mold: Horshu Inlay: HS-Gold Logo: Slot Machine Catalog#: N3165.mr Contributed by: Gary Acquistapace Attributed to Ely Show
['http://themogh.org/cg_pix/nv/41672.jpg'],CG041672 Obsolete Issued: 1953 Added: 2011-08-21 Last Update: 2022-04-01 Color: Mustard Mold: Horshu Inlay: HS-Gold Logo: Slot Machine Catalog#: N3165.mu Contributed by: Gary Acquistapace Attributed to Ely Show
['http://themogh.org/cg_pix/nv/127662.jpg'],CG127662 Obsolete Issued: 1953 Added: 2017-05-29 Last Update: 2022-04-01 Color: Blue Mold: Horshu Inlay: HS-Gold Logo: Slot Machine Catalog#: N3165.bl Contributed by: David Sarles Attributed to Ely Show
['http://themogh.org/cg_pix/nv/127667.jpg'],CG127667 Obsolete Issued: 1953 Added: 2017-05-29 Last Update: 2022-04-01 Color: Blue Mold: SmKey Inlay: HS-Gold Logo: Four Leaf Clover Catalog#: N3162.bl Contributed by: David Sarles Four Leaf Clover Show
['http://themogh.org/cg_pix/nv/127668.jpg'],CG127668 Obsolete Issued: 1953 Added: 2017-05-29 Last Update: 2022-04-01 Color: Green Mold: SmKey Inlay: HS-Gold Logo: Four Leaf Clover Catalog#: N3162.gr Contributed by: David Sarles Show
[],CG127669 Obsolete Issued: 1953 Added: 2014-05-20 Last Update: 2022-04-01 Color: Red Mold: SmKey Inlay: HS-Gold Logo: Four Leaf Clover Catalog#: N3162.rd Show
['http://themogh.org/cg_pix/nv/127670.jpg'],CG127670 Obsolete Issued: 1953 Added: 2017-05-29 Last Update: 2022-04-01 Color: Yellow Mold: SmKey Inlay: HS-Gold Logo: Four Leaf Clover Catalog#: N3162.ye Contributed by: David Sarles Show
['http://themogh.org/cg_pix/nv/179982.jpg'],CG179982 Obsolete Issued: 1953 Added: 2017-05-29 Last Update: 2022-04-01 Color: Brown Mold: SmKey Inlay: HS-Gold Logo: Four Leaf Clover Catalog#: N3162.br Contributed by: David Sarles Show
"['http://themogh.org/cg_pix/nv/127671.jpg', 'http://themogh.org/cg_pix/nv/127671a.jpg']",CG127671 Obsolete Denom: 50¢ Issued: 1953 Added: 2018-04-29 Last Update: 2022-04-01 Color: Beige Mold: Horshu Inlay: HS-Gold Catalog#: N4412 Contributed by: David Sarles BC Attributed To... Show
"['http://themogh.org/cg_pix/nv/018132.jpg', 'http://themogh.org/cg_pix/nv/018132a.jpg']",CG018132 Obsolete Denom: $1 Issued: 1953 Last Update: 2022-04-01 Color: Black Mold: Horshu Inlay: HS-Gold Logo: BC Catalog#: N4407 Contributed by: Greg Susong Updated by: Steve Clark Attributed to... Show
['http://themogh.org/cg_pix/nv/16198.jpg'],CG016198 Obsolete Denom: $1 Issued: 1960 Last Update: 2022-07-25 Color: Dk Pink Mold: H&C (CJ) Inlay: HS-GOLD Catalog#: N3166 Contributed by: Greg Susong Show
['http://themogh.org/cg_pix/nv/289199.jpg'],CG289199 Obsolete Denom: $1 Issued: 1962 Added: 2022-07-25 Last Update: 2022-07-25 Color: Mustard Mold: DieCar Inlay: HS-GOLD Catalog#: N0966 Contributed by: Greg Susong Incused Show
['http://themogh.org/cg_pix/nv/19999.jpg'],CG019999 Obsolete Denom: $1 Issued: 1965 Last Update: 2022-07-25 Color: Dk Pink Mold: DieCar Inlay: HS-GOLD Catalog#: N3167 Contributed by: Greg Susong Incused Show
['http://themogh.org/cg_pix/nv/72875.jpg'],CG072875 Obsolete Denom: $5 Issued: 1937 Added: 2012-05-01 Last Update: 2022-04-01 Color: Black Inserts: 3 Red Mold: SmKey Inlay: HS-Gold Catalog#: N3164 Contributed by: Sheldon Cooper Show
['http://themogh.org/cg_pix/nv/71189.jpg'],CG071189 Obsolete Denom: $5 Issued: 1953 Added: 2012-04-08 Last Update: 2022-04-01 Color: Orange Mold: Arodie Inlay: HS-Gold Catalog#: N0376 Contributed by: Sheldon Cooper Show
['http://themogh.org/cg_pix/nv/127674.jpg'],CG127674 Obsolete Denom: $5 Issued: 1953 Added: 2018-03-26 Last Update: 2022-04-01 Color: Fuchsia Inserts: 3 Black Mold: Horshu Inlay: HS-Gold Catalog#: N4364 Contributed by: David Sarles Show
