image_urls,chip_info,issue_date,is_obsolete,has_valid_image
['http://themogh.org/cg_pix/nv/200541.jpg'],CG200541 Current Denom: $1000 Added: 2018-05-05 Color: Beige Mold: NEVADA Inlay: HS Gold Catalog#: NotInTCR Contributed by: Gene Trimble Show,2018-05-05,False,True
['http://themogh.org/cg_pix/nv/200542.jpg'],CG200542 Current Denom: $1000 Added: 2018-05-05 Color: Red Mold: NEVADA Inlay: HS Gold Catalog#: NotInTCR Contributed by: Gene Trimble Show,2018-05-05,False,True
['http://themogh.org/cg_pix/nv/200543.jpg'],CG200543 Current Denom: $1000 Added: 2018-05-05 Color: Blue Mold: NEVADA Inlay: HS Gold Catalog#: NotInTCR Contributed by: Gene Trimble Show,2018-05-05,False,True
