image_urls,chip_info
['http://themogh.org/cg_pix/nv/032333.jpg'],CG032333 Obsolete Denom: $5 Issued: 1981 Added: 2011-02-25 Last Update: 2020-07-03 Color: Red Mold: Die4Suit (LOT) Inlay: CIC-Silver Catalog#: N0895 Contributed by: Steve Clark Smooth coin Show
['http://themogh.org/cg_pix/nv/032334.jpg'],CG032334 Obsolete Denom: $25 Issued: 1981 Added: 2011-02-25 Last Update: 2020-07-03 Color: Green Mold: Die4Suit (LOT) Inlay: CIC-Silver Catalog#: N0894 Contributed by: Steve Clark Spun coin Show
[],
