image_urls,chip_info
"['http://themogh.org/cg_pix/nv/87182.jpg', 'http://themogh.org/cg_pix/nv/87182a.jpg']",CG087182 Obsolete Denom: 25¢ Issued: 1955 Added: 2012-07-11 Last Update: 2012-07-11 Color: Mustard Mold: DiaSqr Inlay: HS Gold Catalog#: N0850 Contributed by: Brian Meath Show
"['http://themogh.org/cg_pix/nv/87183.jpg', 'http://themogh.org/cg_pix/nv/87183a.jpg']",CG087183 Obsolete Denom: 50¢ Issued: 1955 Added: 2012-07-11 Last Update: 2012-07-11 Color: Green Mold: DiaSqr Inlay: HS Gold Catalog#: N0847 Contributed by: Brian Meath Show
"['http://themogh.org/cg_pix/nv/21187.jpg', 'http://themogh.org/cg_pix/nv/21187a.jpg']",CG021187 Obsolete Denom: $1 Issued: 1955 Last Update: 2013-12-29 Color: NAVY Mold: DiaSqr Inlay: HS-GOLD Catalog#: N0840 Contributed by: Greg Susong Show
"['http://themogh.org/cg_pix/nv/093054.jpg', 'http://themogh.org/cg_pix/nv/093054a.jpg']",CG093054 Obsolete Denom: $5 Issued: 1955 Added: 2012-11-23 Last Update: 2015-02-15 Color: RED Mold: DiaSqr Inlay: HS-GOLD Catalog#: N0835 Contributed by: Steve Clark Show
[],
