image_urls,chip_info
"['http://themogh.org/cg_pix/nv/127702.jpg', 'http://themogh.org/cg_pix/nv/127702a.jpg']",CG127702 Obsolete Denom: $5 Issued: 1953 Added: 2016-05-06 Last Update: 2016-05-06 Color: Orange Mold: ZigZag Inlay: HS-GOLD Catalog#: N7884 Contributed by: David Sarles BS Show
"['http://themogh.org/cg_pix/nv/100236.jpg', 'http://themogh.org/cg_pix/nv/100236a.jpg']",CG100236 Obsolete Denom: $25 Issued: 1953 Added: 2013-03-19 Last Update: 2015-02-17 Color: Black Mold: ZigZag Inlay: HS Gold Catalog#: N7872 Contributed by: Steve Clark Show
[],
