image_urls,chip_info,issue_date,is_obsolete,has_valid_image
['http://themogh.org/cg_pix/nv/39912.jpg'],"CG039912 Current Denom: 25¢ Issued: 1992 Added: 2011-07-25 Last Update: 2017-04-17 Color: Yellow Mold: 8Suits Inlay: HS GOLD Catalog#: N0263 Contributed by: Brian ""Mr. Splashbar"" Cashman NGCB says this chip was issued on 1994. Show",2011-07-25,False,True
['http://themogh.org/cg_pix/nv/17703.jpg'],CG017703 Current Denom: $1 Issued: 2007 Last Update: 2020-12-24 Color: White Inserts: 1-Brown 1-Turquoise Mold: H&C (LCV) Inlay: OR-BLUE Catalog#: E5943 Contributed by: Greg Susong Show,2020-12-24,False,True
"['http://themogh.org/cg_pix/nv/17702.jpg', 'http://themogh.org/cg_pix/nv/17702a.jpg']",CG017702 Current Denom: $1 Issued: 2007 Last Update: 2020-12-24 Color: White Inserts: 1-Brown 1-Turquoise Mold: H&C (LCV/SCV) Inlay: OR-BLUE Catalog#: E5943 Contributed by: Greg Susong Show,2020-12-24,False,True
['http://themogh.org/cg_pix/nv/17702.jpg'],CG040486 Current Denom: $1 Issued: 2007 Added: 2011-08-03 Last Update: 2020-12-24 Color: White Inserts: 1-Brown 1-Turquoise Mold: H&C (SCV) Inlay: OR-BLUE Catalog#: E5943 Show,2011-08-03,False,True
['http://themogh.org/cg_pix/nv/56825.jpg'],CG056825 Current Denom: $5 Issued: 1992 Added: 2011-12-05 Last Update: 2019-09-29 Color: Red Mold: Plain Mftr: Chipco Logo: Logo Catalog#: N6086 Contributed by: Alex Cilento Show,2011-12-05,False,True
['http://themogh.org/cg_pix/nv/73866.jpg'],CG073866 Current Denom: $5 Issued: 1998 Added: 2012-05-12 Last Update: 2018-06-27 Color: Red Mold: Plain Logo: Logo Catalog#: V2247 Contributed by: Terry Shaffer Show,2012-05-12,False,True
['http://themogh.org/cg_pix/nv/056826.jpg'],CG056826 Current Denom: $25 Issued: 1992 Added: 2011-12-05 Last Update: 2019-09-29 Color: Green Mold: Plain Mftr: Chipco Logo: Logo Catalog#: N0580 Contributed by: Alex Cilento Show,2011-12-05,False,True
['http://themogh.org/cg_pix/nv/056827.jpg'],CG056827 Current Denom: $100 Issued: 1992 Added: 2011-12-05 Last Update: 2019-09-29 Color: Black Mold: Plain Mftr: Chipco Logo: Logo Catalog#: E4113 Contributed by: Alex Cilento Show,2011-12-05,False,True
['http://themogh.org/cg_pix/nv/130170.jpg'],"CG130170 Current Denom: $100 Issued: 2009 Added: 2016-06-27 Last Update: 2019-10-03 Color: Black Inserts: 3 Red, 3 Green Mold: H&C (LCV) Inlay: OR-LT GRAY Catalog#: E9504 Contributed by: Dave Pawson Show",2016-06-27,False,True
['http://themogh.org/cg_pix/nv/179136.jpg'],CG179136 Current Denom: $500 Issued: 1998 Added: 2017-05-04 Last Update: 2019-09-28 Color: Purple Mold: Plain Mftr: Chipco Logo: Logo Catalog#: E4114.C Contributed by: David Sarles Notched Show,2017-05-04,False,True
['http://themogh.org/cg_pix/nv/179137.jpg'],CG179137 Current Denom: $500 Issued: 1998 Added: 2017-05-05 Last Update: 2019-09-28 Color: Blue Mold: Plain Mftr: Chipco Logo: Logo Catalog#: E4115.C Contributed by: David Sarles Notched Show,2017-05-05,False,True
