image_urls,chip_info
['http://themogh.org/cg_pix/nv/070149.jpg'],CG070149 Obsolete Issued: 1952 Added: 2018-01-07 Last Update: 2020-03-07 Color: Red Mold: Arodie Inlay: HS-Gold Logo: SAGE BRUSH Catalog#: N7010 Contributed by: David Sarles Show
[],"CG121432 Obsolete Denom: $1 Issued: 1951 Added: 2014-01-31 Last Update: 2018-01-07 Color: Beige Mold: LCrown Inlay: HS-Gold Logo: Cowboy, Bronco Catalog#: E2420 Pic cowboy, bronco, no print Show"
['http://themogh.org/cg_pix/nv/17736.jpg'],CG017736 Obsolete Denom: $1 Issued: 1960 Last Update: 2014-01-31 Color: PURPLE Inserts: 3-Yellow Mold: H&C (CJ) Inlay: HS-GOLD Logo: SAGE BRUSH CLUB Catalog#: N3333 Contributed by: Greg Susong Show
['http://themogh.org/cg_pix/nv/19536.jpg'],CG019536 Obsolete Denom: $1 Issued: 1968 Last Update: 2014-01-31 Color: PINK Inserts: 3-Tan-R Mold: SCrown Inlay: HS-GOLD Logo: SAGEBRUSH CLUB Catalog#: N3335 Contributed by: Terry Shaffer Show
[],CG121433 Obsolete Denom: $1 Issued: 1980 Added: 2014-01-31 Last Update: 2014-01-31 Color: Gray Inserts: 3-Yellow Mold: H&C (SCV) Inlay: HS-GOLD Catalog#: N3332 Show
['http://themogh.org/cg_pix/nv/68985.jpg'],CG068985 Obsolete Denom: $5 Issued: 1950s Added: 2012-03-24 Last Update: 2012-03-24 Color: Yellow Mold: LCrown Inlay: HS-GOLD Catalog#: N5034 Contributed by: Bill Lange Show
"['http://themogh.org/cg_pix/nv/178938.jpg', 'http://themogh.org/cg_pix/nv/178938a.jpg']",CG178938 Obsolete Denom: $5 Issued: 1950s Added: 2017-04-30 Color: Orange Mold: LCrown Inlay: HS-GOLD Catalog#: NotInTCR Contributed by: David Sarles Al Childers. 1949-1950 Show
['http://themogh.org/cg_pix/nv/101633.jpg'],CG101633 Obsolete Denom: $5 Issued: 1968 Added: 2013-04-21 Last Update: 2013-04-21 Color: TURQUOISE Inserts: 3 Gray Mold: SCrown Inlay: HS-GOLD Catalog#: N6612 Contributed by: Ross Poppel Show
['http://themogh.org/cg_pix/nv/67505.jpg'],CG067505 Obsolete Denom: $25 Issued: 1956 Added: 2012-03-13 Last Update: 2012-03-13 Color: GRAY Inserts: 3 Yellow Mold: SCrown Inlay: HS-GOLD Catalog#: N6613 Contributed by: Bill Lange Show
[],
