image_urls,chip_info
['http://themogh.org/cg_pix/nv/52720.jpg'],CG052720 Obsolete Denom: $5 Issued: 1974 Added: 2011-11-05 Last Update: 2011-12-19 Color: Brown Inserts: 3 Orange Mold: LgKey Catalog#: N7475 Contributed by: Gary Acquistapace Show
['http://themogh.org/cg_pix/nv/52721.jpg'],CG052721 Obsolete Denom: $25 Issued: 1974 Added: 2011-11-05 Last Update: 2011-12-19 Color: Black Inserts: 3 Beige Mold: LgKey Catalog#: N5652 Contributed by: Gary Acquistapace Show
['http://themogh.org/cg_pix/nv/178219.jpg'],CG178219 Obsolete Denom: $100 Issued: 1974 Added: 2017-04-07 Color: Pink Inserts: 3 Green Mold: LgKey Inlay: HS Gold Catalog#: N8079 Show
[],
